200,Events and Ideas that Shook the World,HTST200,none,none,none
201,The History of Europe,HTST201,none,none,none
202,An Introduction to Military History,HTST202,none,none,none
203,The World to 1500,HTST203,none,Credit for History 203 and 301 will not be allowed.,none
204,The World, 1500-1800,HTST204,none,Credit for History 204 and 205 will not be allowed.,none
209,The History of China,HTST209,none,none,none
211,Canada: Origins to 1867,HTST211,none,none,none
213,Canada Since 1867,HTST213,none,none,none
300,The Practice of History ,HTST300,3 units in courses labelled History, excluding History 200.,none,none
303,Great Explorations,HTST303,none,none,none
305,Slavery in the Americas,HTST305,none,Credit for History 305 and 207 will not be allowed.,none
307,The Contemporary World,HTST307,none,none,none
308,Gender History,HTST308,none,none,none
317,East Asia from 1800,HTST317,none,none,none
319,Early Medieval Europe, 410-1076,HTST319,none,none,none
321,High and Late Medieval Europe, 1076-1418,HTST321,none,none,none
326,Europe in the Age of the Renaissance and Reformation, 1400-1559,HTST326,none,Credit for History 326 and either 323 or 325 will not be allowed.,none
327,Europe in the Era of Religious War, 1559-1715,HTST327,none,none,none
332,Topics in Early Modern England,HTST332,none,Credit for History 332 and 336 will not be allowed.,none
333,The Age of Totalitarianism,HTST333,none,none,none
337,Twentieth-Century Canada,HTST337,none,none,none
338,Modern Britain 1714 to Present,HTST338,none,none,none
340,Ethnicity, Race, and Immigration in Canada,HTST340,none,none,none
341,History of Popular Culture in Canada, 1850-Present,HTST341,none,Credit for History 341 and 449 will not be allowed.,none
345,Canadian Indigenous History,HTST345,none,none,none
347,Western Canada,HTST347,none,none,none
349,Canadian Military History,HTST349,none,none,none
351,A History of Canadian Politics,HTST351,none,none,none
354,Cities in Global History,HTST354,none,none,none
357,Wild West/Mild West?: Comparative History of the U.S. and Canadian Wests,HTST357,none,none,none
359,The United States to 1877,HTST359,none,none,none
361,The United States since 1877,HTST361,none,none,none
365,Latin America before Independence,HTST365,none,none,none
367,Latin America since Independence,HTST367,none,none,none
372,Ways of Knowing: Science, Technology, and Medicine,HTST372,none,Credit for History 372 and either 371 or 373 will not be allowed.,none
376,History of Death in Western Culture,HTST376,none,none,none
381,Military History: The Era of Revolutionary War and Total War,HTST381,none,none,none
383,Military History: The Cold War Era and Beyond,HTST383,none,none,none
395,History of Energy: From Fire to Fossil Fuels and Beyond,HTST395,none,none,none
397,Topics in World History,HTST397,none,Students may not have credit for History 397.01 and 309; History 397.02 and 390; and History 397.03 and 403.,none
398,Topics in History,HTST398,none,none,none
402,Military History of Africa,HTST402,none,none,none
404,The History of Taiwan ,HTST404,none,Credit for History 404 and 385 will not be allowed.,none
406,The Mongol World Empire ,HTST406,none,none,none
408,The Global 1960s,HTST408,none,none,none
410,Topics in Great Cities of the World,HTST410,Consent of the Department.,none,none
412,Russia and the Soviet Union,HTST412,3 units in courses labelled History at the 300 level or Russian 317.,Credit for History 412 and 411.02 will not be allowed.,none
413,Modern Germany,HTST413,none,Credit for History 413 and 413.02 will not be allowed.,none
418,The Vikings,HTST418,none,Credit for History 418 and History 493.13 will not be allowed.,none
422,Societies and Cultures in the Middle Ages,HTST422,none,none,none
425,History of the Atlantic World,HTST425,none,none,none
426,The European Reformations of the Sixteenth Century,HTST426,none,none,none
427,Ideas and Events that Shaped Modern Europe ,HTST427,none,none,none
431,Canada During the World Wars,HTST431,none,none,none
435,History of Religion in Canada,HTST435,none,none,none
436,History of the University in Canada and the Western World,HTST436,none,none,none
437,Canadian Environmental History,HTST437,none,none,none
438,History of Women in Canadian Society ,HTST438,none,Credit for History 438 and 343 will not be allowed.,none
439,Topics in the Canadian West,HTST439,none,Credit for History 439 and 441 will not be allowed.,none
442,Activism and Protest in Canada, 1867-Present ,HTST442,none,Credit for History 442 and 339 will not be allowed.,none
443,The Métis People of Canada ,HTST443,none,Credit for History 443 and Canadian Studies 419 will not be allowed.,none
447,Northern Horizons: Subarctic and Arctic Canadian History ,HTST447,none,Credit for History 447 and 352 will not be allowed.,none
450,History of Social Policy in Canada,HTST450,none,none,none
